id_empresas,empresa_consorcio
1, UFRJ
2,Fortescue
3,Qair
4,Porto Central
5,Porto de Santos
6,UNIFEI
7,PTI/Furnas
8,Neoenergia
9,Yara/Raízen
10,Unigel
11,Angra I e II
12,Fortrescue
13,Enegix
14,EDP
15,Enerfin
16,White Martins
17,Enterprize Energy
18,AES
19,Casa dos Ventos
20,Shell/Raízen/Hytron/Toyota
21,Copel
22,Atlas Agro
23,Norte Energia
24,Solatio
25,Porto Norte Fluminense
26,HUB Begreen – Tio Hugo
27,HUB Begreen – Usina Escola de amônia na UPF
28,Minuano I
29,Minuano II
30,Chuí 09
31,Chuí V
32,Chuí IV
33,Chuí II
34,Chuí I
35,Verace 27
36,Verace 26
37,Verace 25
38,Verace 24
39,Verace 28
40,Verace 29
41,Verace 30
42,Verace 31
43,Verace 36
44,Verace X
45,Verace 35
46,Verace IX
47,Verace VII
48,Verace 34
49,Verace VIII
50,Verace IV
51,Verace VI
52,Verace V
53,Verace III
54,Verace II
55,Verace I
56,Aura Mirim IV
57,Aura Mangueira VII
58,Aura Mangueira XI
59,Aura Mangueira XV
60,Aura Mirim II
61,Aura Mangueira XIII
62,Aura Mangueira XII
63,Aura Mirim VI
64,Aura Mangueira XVII
65,Aura Mirim VIII
66,Aura Mangueira IV
67,Aura Mangueira VI
68,Vento Aragano I
69,Corredor do Senandes III
70,Corredor do Senandes II
71,Corredor do Senandes IV
72,REB Cassino I
73,REB Cassino II
74,REB Cassino III
75,PCT SLC Alimentos
76,Piratini
77,Engenho Coradini
78,Capão do Inglês
79,Coxilha Seca
80,Galpões
81,Cerro Chato II
82,Cerro Chato I
83,Cerro Chato III
84,Ibirapuitã I
85,Palmares
86,Fazenda Rosário 3
87,Fazenda Rosário
88,Fazenda Rosário 2
89,Atlântica II
90,Atlântica I
91,Atlântica IV
92,Atlântica V
93,Pontal 2B
94,Pontal 2A
95,Pontal 3B
96,Biotérmica Recreio
97,São Sepé
98,Elebrás Cidreira 1
99,Índios 2
100,Índios
101,Índios 3
102,Osório 3
103,Osório
104,Sangradouro 3
105,Osório 2
