id_projeto,fonte_dado,pais,estado_regiao,empresa_consorcio,status_maturidade,fase,tecnologia_eletrolise,aplicacao_final,produto_final,capacidade_mw,producao_t_ano,producao_kg_dia,investimento,moeda_investimento,data_anuncio,previsao_operacao,fonte_renovavel,materia_prima,tipo_parceria,url_fonte,id_fontes,id_estados,id_empresas,id_status,id_tecnologias,id_aplicacoes
H2V-00001,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,1,Projeto Piloto,,Onibus,,0.0,1.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,1,1,1
H2V-00002,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,2,Pré-contrato,,H2V,,305505.0,2.0,,6000.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,2,1,2
H2V-00003,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,3,MoU,,H2V,,488000.0,3.0,,3900.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,3,1,2
H2V-00004,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,4, ,,H2V,,0.0,4.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,4,1,2
H2V-00005,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,5, ,,H2V,,0.0,5.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,5,1,2
H2V-00006,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,6,Piloto,,H2V,,46.5,6.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,6,1,2
H2V-00007,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,6,P&D,,H2V - UHE e PV),,10.0,6.0,,45.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,7,1,3
H2V-00008,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,7,Mou,,H2V - Onibus,,0.0,7.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,8,1,4
H2V-00009,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,8,2023,,Reforma a vapor BioCH4 e NH3V,,240.0,8.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,9,1,5
H2V-00010,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,9,2022,,Fertilizante (NH3V),,600000.0,9.0,,1500.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,10,1,6
H2V-00011,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,10,P&D,,Purificação de H2,,300.0,10.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,11,1,7
H2V-00012,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,11,MoU,,H2V,,250000.0,11.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,12,1,2
H2V-00013,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,12,MoU,,H2V,,600000.0,12.0,,5400.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,13,1,2
H2V-00014,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,13,P&D,,H2V,,2000.0,13.0,,42.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,14,1,2
H2V-00015,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,14,Mou,,H2V,,488000.0,14.0,,6900.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,15,1,2
H2V-00016,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,15,MoU,,Exportação de H2V,,0.0,15.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,16,1,8
H2V-00017,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,16,MoU,,H2V,,0.0,16.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,17,1,2
H2V-00018,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,17,MoU,,Exportação - H2V,,0.0,17.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,18,1,9
