FID,FID_H2_REN,nome_usina,proprietario,RIO,potencia_instalada_kw,ano_inicio_operacao,codigo_ceg_aneel,potencial_h2_t_ano,fonte_energia,FID_LM_Est,NM_REGIAO,CD_GCUF,NM_UF,NM_UF_SIGL,AR_MUN_201,longitude,latitude,fonte_dado,origem
0,722,Minuano I,Eólica Chuí VI S.A., ,22000.0,1432598400000.0,EOL.CV.RS.030844-7.01,6377,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.39900187899993,-33.72280555699992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
1,690,Minuano II,Eólica Chuí VII S.A., ,24000.0,1432598400000.0,EOL.CV.RS.030791-2.01,6957,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.41670290699991,-33.71737403199993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
2,896,Chuí 09,Eólica Chuí IX S.A., ,17900.0,1445472000000.0,EOL.CV.RS.031517-6.01,5188,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.38097703499997,-33.68752004799992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
3,831,Chuí V,Eólica Chuí V S.A, ,30000.0,1432339200000.0,EOL.CV.RS.030760-2.01,8696,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.42183844100001,-33.66812414499994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
4,452,Chuí IV,Eólica Chuí IV S.A., ,22000.0,1433808000000.0,EOL.CV.RS.030754-8.01,6377,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.41642830300002,-33.66469695099997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
5,471,Chuí II,Eólica Chuí II S.A., ,22000.0,1434412800000.0,EOL.CV.RS.030790-4.01,6377,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.40028553499999,-33.65944302099993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
6,828,Chuí I,Eólica Chuí I S.A., ,24000.0,1434412800000.0,EOL.CV.RS.030767-0.01,6957,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.39357107099991,-33.65651802099995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
7,367,Verace 27,Eólica Hermenegildo I S.A., ,16110.0,1448496000000.0,EOL.CV.RS.031600-8.01,4670,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.32371936299991,-33.65430599599998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
8,418,Verace 26,Eólica Hermenegildo I S.A., ,14320.0,1448496000000.0,EOL.CV.RS.031559-1.01,4151,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.30407320899992,-33.65348268199998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
9,343,Verace 25,Eólica Hermenegildo I S.A., ,7160.0,1448496000000.0,EOL.CV.RS.031541-9.01,2075,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.32506053099994,-33.63985526199998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
10,684,Verace 24,Eólica Hermenegildo I S.A., ,19690.0,1448496000000.0,EOL.CV.RS.031561-3.01,5707,EOL,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.30938885999991,-33.63874916399995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
